id,load,bs,reward
0,10,1,-44.241455078125
1,10,1,-32.37744140625
2,10,1,-44.55712890625
3,10,1,-67.3251953125
4,10,1,-38.07373046875
5,10,1,-39.57763671875
6,10,1,-29.538818359375
7,10,1,-35.964111328125
8,10,1,-35.15478515625
9,10,1,-34.476318359375
10,10,1,-32.798583984375
11,10,1,-36.35888671875
12,10,1,-56.518798828125
13,10,1,-28.62548828125
14,10,1,-25.69970703125
15,10,1,-40.369384765625
16,10,1,-28.967041015625
17,10,1,-42.37353515625
18,10,1,-42.92431640625
19,10,1,-35.030517578125
20,10,1,-37.132080078125
21,10,1,-53.79541015625
22,10,1,-33.31201171875
23,10,1,-29.075439453125
24,10,1,-37.927001953125
25,10,1,-32.740234375
26,10,1,-29.024169921875
27,10,1,-30.00439453125
28,10,1,-35.4892578125
29,10,1,-36.806640625
30,10,1,-32.732177734375
31,10,1,-31.33349609375
32,10,1,-35.971435546875
33,10,1,-27.8193359375
34,10,1,-27.380126953125
35,10,1,-42.835205078125
36,10,1,-68.7978515625
37,10,1,-68.571044921875
38,10,1,-37.15625
39,10,1,-35.911376953125
40,10,1,-44.895751953125
41,10,1,-28.935546875
42,10,1,-36.260009765625
43,10,1,-42.286376953125
44,10,1,-28.680908203125
45,10,1,-31.662109375
46,10,1,-30.333740234375
47,10,1,-36.37255859375
48,10,1,-32.896484375
49,10,1,-52.74755859375
50,10,1,-36.741455078125
51,10,1,-59.027587890625
52,10,1,-37.200927734375
53,10,1,-57.536376953125
54,10,1,-53.328369140625
55,10,1,-26.427490234375
56,10,1,-38.20556640625
57,10,1,-56.750244140625
58,10,1,-36.3212890625
59,10,1,-38.539794921875
60,10,1,-33.3115234375
61,10,1,-33.0498046875
62,10,1,-26.132568359375
63,10,1,-33.29833984375
64,10,1,-61.78125
65,10,1,-50.5263671875
66,10,1,-34.144775390625
67,10,1,-31.833984375
68,10,1,-45.11328125
69,10,1,-37.826416015625
70,10,1,-37.69580078125
71,10,1,-43.234130859375
72,10,1,-39.814208984375
73,10,1,-30.99951171875
74,10,1,-48.574951171875
75,10,1,-39.2451171875
76,10,1,-49.88232421875
77,10,1,-38.71630859375
78,10,1,-43.58447265625
79,10,1,-34.9482421875
80,10,1,-28.789306640625
81,10,1,-30.510009765625
82,10,1,-30.005615234375
83,10,1,-40.717529296875
84,10,1,-28.530029296875
85,10,1,-39.038330078125
86,10,1,-35.1884765625
87,10,1,-39.314697265625
88,10,1,-56.72509765625
89,10,1,-33.663330078125
90,10,1,-32.9091796875
91,10,1,-28.508056640625
92,10,1,-36.967529296875
93,10,1,-50.529052734375
94,10,1,-48.579345703125
95,10,1,-38.01123046875
96,10,1,-43.0712890625
97,10,1,-74.664306640625
98,10,1,-53.50439453125
99,10,1,-36.696044921875
100,10,1,-33.21826171875
101,10,1,-30.15234375
102,10,1,-38.28125
103,10,1,-36.593994140625
104,10,1,-29.55517578125
105,10,1,-37.19921875
106,10,1,-35.96826171875
107,10,1,-33.599365234375
108,10,1,-32.411376953125
109,10,1,-36.610107421875
110,10,1,-53.129150390625
111,10,1,-78.577392578125
112,10,1,-47.92236328125
113,10,1,-38.427490234375
114,10,1,-34.599365234375
115,10,1,-37.16748046875
116,10,1,-70.56884765625
117,10,1,-86.17236328125
118,10,1,-35.233642578125
119,10,1,-39.871826171875
120,10,1,-66.269287109375
121,10,1,-37.63427734375
122,10,1,-32.6884765625
123,10,1,-37.288818359375
124,10,1,-28.1533203125
125,10,1,-37.041259765625
126,10,1,-31.914306640625
127,10,1,-33.009765625
128,10,1,-28.563720703125
129,10,1,-34.9365234375
130,10,1,-33.79150390625
131,10,1,-37.147216796875
132,10,1,-32.9755859375
133,10,1,-38.989501953125
134,10,1,-29.253173828125
135,10,1,-27.06787109375
136,10,1,-43.06689453125
137,10,1,-66.05517578125
138,10,1,-77.879150390625
139,10,1,-39.41845703125
